time_interval_std,avg_down,std_down,avg_up,std_up,packet_ratio,stream
5.166236541235796,622205.7272727273,363054.4442542245,25086.81818181818,19114.541108410736,0.6151998120318924,1
2.449489742783178,914955.9166666666,358650.70922543807,34452.5,16641.007233638233,0.668185472305476,1
13.5,617404.3333333334,207592.53026113973,22631.333333333332,12370.928187578418,0.6047047676421554,1
5.165994579942956,773024.8,272860.88173015934,34514.8,19628.68742835343,0.6816674165313567,1
1.4834477692020764,548173.1578947369,276222.1702522624,26908.63157894737,16548.37116554638,0.7375487002325481,1
5.206833117271103,738737.6,309493.36779362493,36167.0,14303.770495921695,0.7820896528208119,1
2.344549760667688,612338.0,204732.40173095785,27163.57894736842,12099.126433519637,0.6839225082891582,1
1.483052926695302,603878.35,230424.27158857964,29132.1,14224.752510676593,0.7261807448575088,1
6.0,952365.6666666666,194783.75073455748,54296.666666666664,25860.845324329384,0.7838451791820287,1
4.852939357560865,377312.5,134113.6174359263,15745.625,6699.696764359936,0.6363349555334865,1
4.193248541803041,428013.71428571426,56411.139258924704,17645.428571428572,6136.826328629082,0.6425106615130741,1
6.5,435285.0,49857.85328310877,11881.0,1125.9804616422082,0.5038650589579762,1
8.642193008721803,375791.0,126621.58050822142,12931.0,5809.309735243939,0.5852936833577995,1
3.147971127920684,727778.3076923077,291070.7160627636,36921.846153846156,23370.845193386875,0.711327668097791,1
3.286335345030997,1028944.1666666666,166816.1173652161,54532.166666666664,12985.318509977164,0.8080402258631159,1
2.2038926600773587,1088419.75,144609.55789275307,46412.375,12905.757580799935,0.6977306782017294,1
1.0,911912.6666666666,170053.52247715686,44760.666666666664,19066.989560202965,0.7284887848061977,1
2.345207879911715,1084282.6,127414.44841398482,28543.8,6687.152859027526,0.5182670960303919,1
7.863841300534999,234405.63636363635,167433.58779380002,7368.636363636364,5328.426755239338,0.5370016672960082,1
7.6000000000000005,444345.6666666667,201057.00194527477,14644.833333333334,6315.0867879142315,0.5829713265486963,1
7.840422324226051,329508.14285714284,106550.31968501827,9637.0,3701.2952945074317,0.5423606956325356,1
6.928203230275509,416762.8,102626.3141701971,11747.0,3003.5949793539075,0.5195031801977379,1
7.28285658241325,313750.5,164892.49225353874,9071.333333333334,3997.3211307352103,0.57025081824286,1
1.585705776592037,910552.4347826086,330930.76544863527,29618.0,15362.72769881137,0.7072963554929587,1
0.759202798262025,1256097.8461538462,436075.6079111204,51850.92307692308,20860.280123724053,0.8304236261424273,1
0.7880950133074057,675319.6470588235,284469.9948045676,24774.823529411766,16722.58859864245,0.7373898071203182,1
0.8660254037844386,455175.17647058825,324962.0481216837,14975.058823529413,17978.104010714513,0.6328294762373617,1
1.0989796325169001,478131.3,298639.23733061267,10935.7,9167.604573169592,0.5778391469733724,1
6.461423991660043,1508955.4444444445,1650425.705091542,89680.44444444444,72661.04109892898,0.6368722124803843,1
5.5432186252458715,1077645.5,934741.400375036,78217.66666666667,40624.34610824182,0.6979882399600186,1
6.0736223860962,1590555.7142857143,1006716.9755523878,84113.0,49331.27413141253,0.5223385908134835,1
5.539629951540085,1603871.8,903864.7495397527,95162.0,58147.672875189084,0.4781220675573105,1
10.0,1263695.0,957838.5324409676,55486.333333333336,15785.9105182086,0.5190536829604568,1
